city,sex,age,population
Porto Velho,Men,0,871
Porto Velho,Men,1,1440
Porto Velho,Men,2,4868
Porto Velho,Men,3,4701
Porto Velho,Men,4,3108
Porto Velho,Men,5,2312
Porto Velho,Men,6,3433
Porto Velho,Men,7,4985
Porto Velho,Men,8,3699
Porto Velho,Men,9,3856
Porto Velho,Men,10,1918
Porto Velho,Men,11,2904
Porto Velho,Men,12,3949
Porto Velho,Men,13,7931
Porto Velho,Men,14,2999
Porto Velho,Men,15,3602
Porto Velho,Men,16,4780
Porto Velho,Men,17,3024
Porto Velho,Men,18,7060
Porto Velho,Men,19,6223
Porto Velho,Men,20,3377
Porto Velho,Men,21,4052
Porto Velho,Men,22,5575
Porto Velho,Men,23,3395
Porto Velho,Men,24,4283
Porto Velho,Men,25,2907
Porto Velho,Men,26,6390
Porto Velho,Men,27,4716
Porto Velho,Men,28,4429
Porto Velho,Men,29,4882
Porto Velho,Men,30,3079
Porto Velho,Men,31,3863
Porto Velho,Men,32,6929
Porto Velho,Men,33,3120
Porto Velho,Men,34,3840
Porto Velho,Men,35,6001
Porto Velho,Men,36,4097
Porto Velho,Men,37,3396
Porto Velho,Men,38,4642
Porto Velho,Men,39,6995
Porto Velho,Men,40,3029
Porto Velho,Men,41,2943
Porto Velho,Men,42,2772
Porto Velho,Men,43,3250
Porto Velho,Men,44,3863
Porto Velho,Men,45,3270
Porto Velho,Men,46,3301
Porto Velho,Men,47,5256
Porto Velho,Men,48,3897
Porto Velho,Men,49,3598
Porto Velho,Men,50,2230
Porto Velho,Men,51,2460
Porto Velho,Men,52,4225
Porto Velho,Men,53,4170
Porto Velho,Men,54,1818
Porto Velho,Men,55,1232
Porto Velho,Men,56,2776
Porto Velho,Men,57,1877
Porto Velho,Men,58,2169
Porto Velho,Men,59,1038
Porto Velho,Men,60,1665
Porto Velho,Men,61,338
Porto Velho,Men,62,2382
Porto Velho,Men,63,929
Porto Velho,Men,64,1464
Porto Velho,Men,65,2068
Porto Velho,Men,66,213
Porto Velho,Men,67,2458
Porto Velho,Men,68,874
Porto Velho,Men,69,671
Porto Velho,Men,70,1480
Porto Velho,Men,71,359
Porto Velho,Men,72,427
Porto Velho,Men,73,892
Porto Velho,Men,74,217
Porto Velho,Men,75,542
Porto Velho,Men,76,466
Porto Velho,Men,77,213
Porto Velho,Men,79,261
Porto Velho,Men,80,740
Porto Velho,Men,81,419
Porto Velho,Men,85,283
Porto Velho,Men,86,224
Porto Velho,Men,91,187
Porto Velho,Men,92,101
Porto Velho,Women,0,1385
Porto Velho,Women,1,2945
Porto Velho,Women,2,3137
Porto Velho,Women,3,3570
Porto Velho,Women,4,3966
Porto Velho,Women,5,2228
Porto Velho,Women,6,4772
Porto Velho,Women,7,3028
Porto Velho,Women,8,5798
Porto Velho,Women,9,4760
Porto Velho,Women,10,2545
Porto Velho,Women,11,5364
Porto Velho,Women,12,4326
Porto Velho,Women,13,3114
Porto Velho,Women,14,3528
Porto Velho,Women,15,7209
Porto Velho,Women,16,3889
Porto Velho,Women,17,4772
Porto Velho,Women,18,2710
Porto Velho,Women,19,5535
Porto Velho,Women,20,3646
Porto Velho,Women,21,3906
Porto Velho,Women,22,3290
Porto Velho,Women,23,6460
Porto Velho,Women,24,3909
Porto Velho,Women,25,2695
Porto Velho,Women,26,3502
Porto Velho,Women,27,2064
Porto Velho,Women,28,3971
Porto Velho,Women,29,3378
Porto Velho,Women,30,2977
Porto Velho,Women,31,4891
Porto Velho,Women,32,2595
Porto Velho,Women,33,4713
Porto Velho,Women,34,4871
Porto Velho,Women,35,5715
Porto Velho,Women,36,5774
Porto Velho,Women,37,3970
Porto Velho,Women,38,5989
Porto Velho,Women,39,3822
Porto Velho,Women,40,4257
Porto Velho,Women,41,6235
Porto Velho,Women,42,4404
Porto Velho,Women,43,2540
Porto Velho,Women,44,4847
Porto Velho,Women,45,2873
Porto Velho,Women,46,3101
Porto Velho,Women,47,3297
Porto Velho,Women,48,2561
Porto Velho,Women,49,3187
Porto Velho,Women,50,2866
Porto Velho,Women,51,1830
Porto Velho,Women,52,2267
Porto Velho,Women,53,2821
Porto Velho,Women,54,2989
Porto Velho,Women,55,2445
Porto Velho,Women,56,4938
Porto Velho,Women,57,2885
Porto Velho,Women,58,2232
Porto Velho,Women,59,2524
Porto Velho,Women,60,935
Porto Velho,Women,61,1435
Porto Velho,Women,62,1292
Porto Velho,Women,63,480
Porto Velho,Women,64,2771
Porto Velho,Women,65,1113
Porto Velho,Women,66,562
Porto Velho,Women,67,1798
Porto Velho,Women,68,1595
Porto Velho,Women,69,678
Porto Velho,Women,70,1153
Porto Velho,Women,71,854
Porto Velho,Women,72,1234
Porto Velho,Women,73,598
Porto Velho,Women,74,115
Porto Velho,Women,75,95
Porto Velho,Women,76,249
Porto Velho,Women,77,273
Porto Velho,Women,78,134
Porto Velho,Women,79,388
Porto Velho,Women,80,123
Porto Velho,Women,81,164
Porto Velho,Women,84,102
Porto Velho,Women,85,123
Porto Velho,Women,86,208
Porto Velho,Women,87,717
Porto Velho,Women,88,157
Porto Velho,Women,91,235
Porto Velho,Women,94,134
Rio Branco,Men,0,3170
Rio Branco,Men,1,2433
Rio Branco,Men,2,2966
Rio Branco,Men,3,4598
Rio Branco,Men,4,5568
Rio Branco,Men,5,5941
Rio Branco,Men,6,3430
Rio Branco,Men,7,4948
Rio Branco,Men,8,3831
Rio Branco,Men,9,4016
Rio Branco,Men,10,3815
Rio Branco,Men,11,4005
Rio Branco,Men,12,4343
Rio Branco,Men,13,4963
Rio Branco,Men,14,3858
Rio Branco,Men,15,3422
Rio Branco,Men,16,4513
Rio Branco,Men,17,3798
Rio Branco,Men,18,3748
Rio Branco,Men,19,5380
Rio Branco,Men,20,5028
Rio Branco,Men,21,3446
Rio Branco,Men,22,3686
Rio Branco,Men,23,3117
Rio Branco,Men,24,3708
Rio Branco,Men,25,3600
Rio Branco,Men,26,3268
Rio Branco,Men,27,4201
Rio Branco,Men,28,2954
Rio Branco,Men,29,2963
Rio Branco,Men,30,3894
Rio Branco,Men,31,2564
Rio Branco,Men,32,2715
Rio Branco,Men,33,3249
Rio Branco,Men,34,2901
Rio Branco,Men,35,4976
Rio Branco,Men,36,2879
Rio Branco,Men,37,3267
Rio Branco,Men,38,3708
Rio Branco,Men,39,3212
Rio Branco,Men,40,2880
Rio Branco,Men,41,3579
Rio Branco,Men,42,2206
Rio Branco,Men,43,2040
Rio Branco,Men,44,2788
Rio Branco,Men,45,3135
Rio Branco,Men,46,2159
Rio Branco,Men,47,2449
Rio Branco,Men,48,3394
Rio Branco,Men,49,2887
Rio Branco,Men,50,1923
Rio Branco,Men,51,1658
Rio Branco,Men,52,1875
Rio Branco,Men,53,981
Rio Branco,Men,54,1394
Rio Branco,Men,55,1591
Rio Branco,Men,56,1606
Rio Branco,Men,57,2447
Rio Branco,Men,58,1329
Rio Branco,Men,59,1393
Rio Branco,Men,60,827
Rio Branco,Men,61,1733
Rio Branco,Men,62,383
Rio Branco,Men,63,1310
Rio Branco,Men,64,1305
Rio Branco,Men,65,1452
Rio Branco,Men,66,1094
Rio Branco,Men,67,702
Rio Branco,Men,68,856
Rio Branco,Men,69,683
Rio Branco,Men,70,1165
Rio Branco,Men,71,225
Rio Branco,Men,72,786
Rio Branco,Men,73,283
Rio Branco,Men,74,280
Rio Branco,Men,75,296
Rio Branco,Men,76,299
Rio Branco,Men,77,115
Rio Branco,Men,78,192
Rio Branco,Men,79,197
Rio Branco,Men,80,404
Rio Branco,Men,81,70
Rio Branco,Men,82,60
Rio Branco,Men,83,283
Rio Branco,Men,84,133
Rio Branco,Men,85,140
Rio Branco,Men,88,65
Rio Branco,Men,89,128
Rio Branco,Men,90,428
Rio Branco,Men,91,71
Rio Branco,Men,92,328
Rio Branco,Women,0,1737
Rio Branco,Women,1,3541
Rio Branco,Women,2,4476
Rio Branco,Women,3,3798
Rio Branco,Women,4,4353
Rio Branco,Women,5,4863
Rio Branco,Women,6,4064
Rio Branco,Women,7,3857
Rio Branco,Women,8,3624
Rio Branco,Women,9,5147
Rio Branco,Women,10,4287
Rio Branco,Women,11,2517
Rio Branco,Women,12,3586
Rio Branco,Women,13,3798
Rio Branco,Women,14,4367
Rio Branco,Women,15,3461
Rio Branco,Women,16,5671
Rio Branco,Women,17,4051
Rio Branco,Women,18,5192
Rio Branco,Women,19,4412
Rio Branco,Women,20,4678
