"","loc_label","age.label","age","sex","pop.PNADc","pop_adj"
"1","belo horizonte","0-15",0,"Men",11534,11534
"2","belo horizonte","0-15",0,"Women",14439,14439
"3","belo horizonte","0-15",1,"Men",14966,14966
"4","belo horizonte","0-15",1,"Women",15976,15976
"5","belo horizonte","0-15",2,"Men",14927,14927
"6","belo horizonte","0-15",2,"Women",11060,11060
"7","belo horizonte","0-15",3,"Men",12796,12796
"8","belo horizonte","0-15",3,"Women",21130,21130
"9","belo horizonte","0-15",4,"Men",16407,16407
"10","belo horizonte","0-15",4,"Women",15417,15417
"11","belo horizonte","0-15",5,"Men",17467,17467
"12","belo horizonte","0-15",5,"Women",16187,16187
"13","belo horizonte","0-15",6,"Men",10500,10500
"14","belo horizonte","0-15",6,"Women",15510,15510
"15","belo horizonte","0-15",7,"Men",14107,14107
"16","belo horizonte","0-15",7,"Women",17558,17558
"17","belo horizonte","0-15",8,"Men",10703,10703
"18","belo horizonte","0-15",8,"Women",15993,15993
"19","belo horizonte","0-15",9,"Men",13431,13431
"20","belo horizonte","0-15",9,"Women",19914,19914
"21","belo horizonte","0-15",10,"Men",14049,14049
"22","belo horizonte","0-15",10,"Women",12598,12598
"23","belo horizonte","0-15",11,"Men",13713,13713
"24","belo horizonte","0-15",11,"Women",12358,12358
"25","belo horizonte","0-15",12,"Men",20859,20859
"26","belo horizonte","0-15",12,"Women",11692,11692
"27","belo horizonte","0-15",13,"Men",17013,17013
"28","belo horizonte","0-15",13,"Women",15200,15200
"29","belo horizonte","0-15",14,"Men",15440,15440
"30","belo horizonte","0-15",14,"Women",8945,8945
"31","belo horizonte","0-15",15,"Men",13180,13180
"32","belo horizonte","0-15",15,"Women",15584,15584
"33","belo horizonte","16-29",16,"Men",13373,13373
"34","belo horizonte","16-29",16,"Women",17145,17145
"35","belo horizonte","16-29",17,"Men",22365,22365
"36","belo horizonte","16-29",17,"Women",17454,17454
"37","belo horizonte","16-29",18,"Men",17087,17087
"38","belo horizonte","16-29",18,"Women",20746,20746
"39","belo horizonte","16-29",19,"Men",15768,15768
"40","belo horizonte","16-29",19,"Women",13285,13285
"41","belo horizonte","16-29",20,"Men",21244,21244
"42","belo horizonte","16-29",20,"Women",21873,21873
"43","belo horizonte","16-29",21,"Men",19919,19919
"44","belo horizonte","16-29",21,"Women",19924,19924
"45","belo horizonte","16-29",22,"Men",21695,21695
"46","belo horizonte","16-29",22,"Women",31779,31779
"47","belo horizonte","16-29",23,"Men",18485,18485
